washington           ,Skyland Ranch                                                                   ,"43100 Reiter Road
                                                                                                       Gold Bar, WA 98251"                                        ,360-793-2611
washington           ,UW Medicine Mental Health and Addiction Services at Harborview                  ,"401 Broadway 1st floor
                                                                                                       Seattle, Washington 98104"                                 ,206-744-9657
washington           ,Friends of Youth: Youth and Family Services                                     ,"401 Ballarat Avenue North
                                                                                                       North Bend, Washington 98045"                              ,425-392-6367
washington           ,Shipowick-Smith Counseling                                                      ,"11 Spokane Street 100
                                                                                                       Wenatchee, Washington 98801"                               ,509-667-0679
washington           ,Northbound Treatment Services                                                   ,"510 2nd Ave W
                                                                                                       Seattle, WA 98119"                                         ,206-203-1836
washington           ,Spokane Falls Recovery Center                                                   ,"101 E Magnesium Rd
                                                                                                       Spokane, WA 99208"                                         ,844-962-2775
washington           ,Alta Counseling and Testing                                                     ,"1712 6th Avenue
                                                                                                       Tacoma, WA 98405"                                          ,253-473-7586
washington           ,YFA Connections Adult Treatment Service                                         ,"22 South Thor Street
                                                                                                       Spokane, WA 99202"                                         ,509-532-2000
washington           ,Spokane Regional Health District Opioid Treatment Program                       ,"312 W. 8th Ave.
                                                                                                       Spokane, WA 99204"                                         ,5093241420
washington           ,Therapeutic Health Services Summit Branch                                       ,"1116 Summit Avenue
                                                                                                       Seattle, WA 98101"                                         ,206-323-0930
washington           ,Matt Talbot Day Center                                                          ,"2313 3rd Avenue
                                                                                                       Seattle, WA 98121"                                         ,206-256-9865
washington           ,John Volken Academy                                                             ,"921 Central Avenue
                                                                                                       Kent, WA 98032"                                            ,855-592-3001
washington           ,West Sound Treatment Center Port Orchard                                        ,"2475 Bethel Road Southeast
                                                                                                       Port Orchard, WA 98366"                                    ,360-876-9430
washington           ,Royal Life Centers at Cascade Heights                                           ,"14525 North Newport Highway
                                                                                                       Mead, WA 99021"                                            ,509-596-2269
washington           ,Alternative Counseling Kent                                                     ,"19435 68th Avenue South Suite S-109
                                                                                                       Kent, WA 98032"                                            ,425-251-1933
washington           ,MERIT Resource Services                                                         ,"7510 West Deschutes Place
                                                                                                       Kennewick, WA 99336"                                       ,509-579-0738
washington           ,Center for Discovery Edmonds                                                    ,"7511 176th Street Southwest
                                                                                                       Edmonds, WA 98026"                                         ,8773852985
washington           ,Muckleshoot Indian Tribe Behavioral Health                                      ,"17500 SE 392nd St
                                                                                                       Auburn, WA 98092"                                          ,2533333605
washington           ,Native Project Behavioral Health                                                ,"1803 West Maxwell Avenue
                                                                                                       Spokane, WA 99201"                                         ,509-325-5502
washington           ,Sound Counseling Services Auburn                                                ,"4238 Auburn Way North
                                                                                                       Auburn, WA 98002"                                          ,206-901-2000
washington           ,Pierce County Alliance                                                          ,"510 Tacoma Avenue South
                                                                                                       Tacoma, WA 98402"                                          ,253-572-4750
washington           ,Columbia River Mental Health Main Clinic                                        ,"6926 Northeast Fourth Plain Boulevard
                                                                                                       Vancouver, WA 98661"                                       ,360-993-3000
washington           ,Sea Mar Everett Behavioral Health                                               ,"5007 Claremont Way
                                                                                                       Everett, WA 98203"                                         ,425-609-5505
washington           ,Sea Mar CSNW Fourth Plain                                                       ,"1601 East Fourth Plain Boulevard Building 17 Suite B222
                                                                                                       Vancouver, WA 98661"                                       ,360-558-5795
washington           ,Ideal Option Bellevue                                                           ,"1215 120th Avenue Northeast Suite 201
                                                                                                       Bellevue, WA 98005"                                        ,877-522-1275
washington           ,American Lake VA Medical Center                                                 ,"9600 Veterans Drive Southwest
                                                                                                       Tacoma, WA 98498"                                          ,800-329-8387
washington           ,Skagit Community Detox Center                                                   ,"201 Lila Lane
                                                                                                       Burlington, WA 98233"                                      ,360-757-7738
washington           ,Lakeside Milam Recovery Centers Outpatient                                      ,"6725 116th Avenue Northeast Suite 110
                                                                                                       Kirkland, WA 98033"                                        ,425-822-5095
washington           ,Hazelden Betty Ford Foundation                                                  ,"1231 116th Ave NE Ste. 410
                                                                                                       Bellevue, WA 98004"                                        ,855-336-1677
washington           ,Valley Cities Pike’s Place Clinic                                               ,"1537 Western Ave
                                                                                                       Seattle, WA 98101"                                         ,253-833-7444
washington           ,Discover Recovery Treatment Center                                              ,"800 Washington Avenue North long-beach
                                                                                                       Long Beach, WA 98631"                                      ,844-418-8526
washington           ,Spokane Treatment and Recovery Services                                         ,"105 West 3rd Avenue
                                                                                                       Spokane, WA 99201"                                         ,509-570-7250
washington           ,Tacoma Pierce County Health Department                                          ,"3629 South D Street
                                                                                                       Tacoma, WA 98418"                                          ,253-649-1500
washington           ,Northwest Resources Shelton 1 Clinic                                            ,"235 South 3rd Street
                                                                                                       Shelton, WA 98584"                                         ,360-426-0890
washington           ,The Healing Lodge of the Seven Nations                                          ,"5600 East 8th Avenue
                                                                                                       Spokane Valley, WA 99212"                                  ,509-533-6910
washington           ,American Behavioral Health Systems Port Angeles Residential Inpatient Services  ,"825 East 5th Street
                                                                                                       Port Angeles, WA 98362"                                    ,360-477-4795
washington           ,Family Health Center Grade Street Campus                                        ,"621 Grade Street
                                                                                                       Kelso, WA 98626"                                           ,360-425-9210
washington           ,Kent Comprehensive Treatment Center                                             ,"21851 84th Avenue South
                                                                                                       Kent, WA 98032"                                            ,425-947-2462
washington           ,Capital Recovery Center                                                         ,"1000 Cherry Street Southeast
                                                                                                       Olympia, WA 98501"                                         ,360-357-2582
washington           ,Eugenia Center Mental Health Services                                           ,"151 North Market Boulevard c
                                                                                                       Chehalis, WA 98532"                                        ,360-948-0203
washington           ,Sea Mar Community Health Centers Renacer Youth Treatment Center                 ,"10001 17th Place South
                                                                                                       Seattle, WA 98168"                                         ,206-766-6969
washington           ,Consejo Counseling and Referral Service Tacoma                                  ,"5915 Orchard Street West
                                                                                                       Tacoma, WA 98467"                                          ,253-414-7461
washington           ,New Freedom Recovery Center                                                     ,"10215 214th Avenue East
                                                                                                       Bonney Lake, WA 98391"                                     ,253-862-7374
washington           ,Starting Point                                                                  ,"801 Grand Boulevard
                                                                                                       Vancouver, WA 98661"                                       ,360-696-2010
washington           ,Thurston County Drug Court Program                                              ,"2000 Lakeridge Drive Southwest
                                                                                                       Olympia, WA 98502"                                         ,360-357-2482
washington           ,West Sound Treatment Center Bremerton                                           ,"4060 Wheaton Way Suite F
                                                                                                       Bremerton, WA 98310"                                       ,360-876-9430
washington           ,YVFWC Behavioral Health Services                                                ,"918 East Mead Avenue
                                                                                                       Yakima, WA 98903"                                          ,509-453-1344
washington           ,Mountlake Terrace Alcohol and Drug Treatment and Rehab                          ,"21907 64th Avenue West Suite 310
                                                                                                       Mountlake Terrace, WA 98043"                               ,425-289-1600
washington           ,Kent Comprehensive Treatment Center                                             ,"21851 84th Avenue South Suite 101
                                                                                                       Kent, WA 98032"                                            ,844-222-4640
washington           ,Evergreen Health Behavioral Health Services                                     ,"11800 Northeast 128th Street Suite 200
                                                                                                       Kirkland, WA 98034"                                        ,4258993300
washington           ,Apple Valley Counseling Services in Yakima                                      ,"611 West A Street
                                                                                                       Yakima, WA 98902"                                          ,509-452-1000
washington           ,Pioneer Center East                                                             ,"3400 West Garland Avenue
                                                                                                       Spokane, WA 99205"                                         ,509-325-2355
washington           ,Ideal Option East Francis                                                       ,"208 East Francis Avenue
                                                                                                       Spokane, WA 99208"                                         ,877-522-1275
washington           ,Colonial Clinic                                                                 ,"910 North Washington Street Suite 210
                                                                                                       Spokane, WA 99201"                                         ,509-327-9831
washington           ,Ryther                                                                          ,"2400 Northeast 95th Street
                                                                                                       Seattle, WA 98115"                                         ,206-525-5050
washington           ,Fairfax Behavioral Health Monroe                                                ,"14701 179th Avenue Southeast
                                                                                                       Monroe, WA 98272"                                          ,360-365-5300
washington           ,Asian Counseling Treatment Services                                             ,"9100 Bridgeport Way SW
                                                                                                       Lakewood, WA 98499"                                        ,253-302-3826
washington           ,Kent Youth and Family Services                                                  ,"232 2nd Avenue South Suite 201
                                                                                                       Kent, WA 98032"                                            ,253-859-0300
washington           ,Evergreen Recovery Centers Grand Avenue                                         ,"2732 Grand Avenue
                                                                                                       Everett, WA 98201"                                         ,425-259-5842
washington           ,Rainier Springs                                                                 ,"2805 NE 129th St
                                                                                                       Vancouver, WA 98686"                                       ,360-356-1890
washington           ,We Care Daily Clinics                                                           ,"2818 Auburn Way North
                                                                                                       Auburn, WA 98002"                                          ,253-999-5750
washington           ,Sea Mar Community Health Centers Aberdeen Behavioral Health Clinic              ,"1813 Sumner Avenue
                                                                                                       Aberdeen, WA 98520"                                        ,360-538-1461
washington           ,Evergreen Recovery Centers Summit Avenue                                        ,"2601 Summit Avenue Building A
                                                                                                       Everett, WA 98201"                                         ,425-493-5310
washington           ,Olympic Personal Growth Center                                                  ,"390 East Cedar Street
                                                                                                       Sequim, WA 98382"                                          ,360-681-8463
washington           ,American Behavioral Health Systems Spokane Washington on Cozza                  ,"44 East Cozza Drive
                                                                                                       Spokane, WA 99208"                                         ,509-325-6800
washington           ,Barth Clinic Treatment                                                          ,"201 East Lincoln Avenue Suite 100
                                                                                                       Yakima, WA 98901"                                          ,8774575657
washington           ,HarborCrest Behavioral Health                                                   ,"1006 North H Street
                                                                                                       Aberdeen, WA 98520"                                        ,877-346-8253
washington           ,James Oldham Treatment Center                                                   ,"201 Highland Drive
                                                                                                       Buena, WA 98953"                                           ,509-865-6705
washington           ,Coastal Treatment Services                                                      ,"12835 NE Bel-Red Road
                                                                                                       Suite 145
                                                                                                       Bellevue, WA 98005"                                        ,425-646-4406
washington           ,James Oldham Treatment Center                                                   ,"201 Highland Drive
                                                                                                       Buena, WA 98953"                                           ,509-865-6705
washington           ,Associated Behavioral Health Care Bellevue                                      ,"1800 112th Avenue Northeast Suite 150W
                                                                                                       Bellevue, WA 98004"                                        ,425-646-7279
washington           ,Set Free NW Chehalis                                                            ,"3149 Jackson Highway
                                                                                                       Chehalis, WA 98532"                                        ,360-310-0577
washington           ,Friends of Youth Issaquah                                                       ,"414 Front Street North
                                                                                                       Issaquah, WA 98027"                                        ,425-392-6367
washington           ,Sunrise Community Mental Health Skagit                                          ,"2500 East College Way
                                                                                                       Mount Vernon, WA 98273"                                    ,360-336-3762
washington           ,Therapeutic Health Services Rainier Branch                                      ,"5802 Rainier Avenue South
                                                                                                       Seattle, WA 98118"                                         ,206-723-1980
washington           ,Sun Ray Court Mens Program                                                      ,"518 South Browne Street
                                                                                                       Spokane, WA 99204"                                         ,509-456-5465
washington           ,Frontier Behavioral Health Foothills Evaluation                                 ,"505 North Foothills Drive East
                                                                                                       Spokane, WA 99207"                                         ,509-838-4651
washington           ,Daybreak Youth Services Spokane Inpatient                                       ,"628 South Cowley Street
                                                                                                       Spokane, WA 99202"                                         ,5096243227
washington           ,Breakthrough Recovery Group Mental Health and Substance Abuse Treatment         ,"11711 East Sprague Avenue Suite D-4
                                                                                                       Spokane, WA 99206"                                         ,509-927-6838
washington           ,Seattle VA Medical Center                                                       ,"1660 South Columbian Way
                                                                                                       Seattle, WA 98108"                                         ,800-329-8387
washington           ,Lourdes Medical Center                                                          ,"520 North 4th Avenue
                                                                                                       Pasco, WA 99301"                                           ,509-547-7704
washington           ,BHC Fairfax Behavioral Health Kirkland                                          ,"10200 Northeast 132nd Street
                                                                                                       Kirkland, WA 98034"                                        ,425-821-2000
washington           ,Consejo Counseling and Referral Service Kent                                    ,"515 West Harrison Street
                                                                                                       Suite 109
                                                                                                       Kent, WA 98032"                                            ,2064614880
washington           ,Youth Eastside Services                                                         ,"999 164th Avenue Northeast
                                                                                                       Bellevue, WA 98008"                                        ,425-747-4937
washington           ,Therapeutic Health Services Eastside Branch                                     ,"1412 140th Place Northeast
                                                                                                       Bellevue, WA 98007"                                        ,425-747-7892
washington           ,The Recovery Village Ridgefield Detox Center                                    ,"5114 NE 94th Ave
                                                                                                       Vancouver, WA 98662"                                       ,8886128959
washington           ,Ideal Option Vancouver                                                          ,"406 SE 131st Ave
                                                                                                       Ste. #104
                                                                                                       Vancouver, WA 98683"                                       ,877-522-1275
washington           ,New Horizon Care Centers Isabella House                                         ,"2308 West 3rd Avenue
                                                                                                       Spokane, WA 99201"                                         ,509-624-1244
washington           ,Mount Vernon VA Clinic                                                          ,"307 South 13th Street Suite 200
                                                                                                       Mount Vernon, WA 98274"                                    ,360-848-8500
washington           ,MultiCare Behavioral Health Puyallup                                            ,"325 East Pioneer
                                                                                                       Puyallup, WA 98372"                                        ,253-697-8400
washington           ,Lifeline Connections Vancouver                                                  ,"1601 East 4th Plain Boulevard Bldg. 17, Ste. A212
                                                                                                       Vancouver, WA 98661"                                       ,360-397-8246
washington           ,Newport Academy Kirkland                                                        ,"12029 113th Avenue Northeast
                                                                                                       Kirkland, WA 98034"                                        ,855-431-3055
washington           ,Northpoint Washington Edmonds                                                   ,"7416 212th Street Southwest
                                                                                                       Edmonds, WA 98026"                                         ,888-663-7106
washington           ,Royal Life Centers at Puget Sound                                               ,"1723 Bonney Avenue
                                                                                                       Sumner, WA 98390"                                          ,877-732-6837
washington           ,Asian Counseling and Referral Service Main Office Seattle                       ,"3639 Martin Luther King Junior Way South
                                                                                                       Seattle, WA 98108"                                         ,206-695-7600
washington           ,Daybreak Youth Services Outpatient Spokane                                      ,"200 North Mullan Road Suite 120
                                                                                                       Spokane, WA 99206"                                         ,509-927-1688
washington           ,VA Puget Sound Health Care North Olympic Peninsula Clinic                       ,"1114 Georgiana Street
                                                                                                       Port Angeles, WA 98362"                                    ,360-565-7420
washington           ,Ryther Child Center Seattle                                                     ,"2400 NE 95th Street
                                                                                                       Seattle, WA 98115"                                         ,206-525-5050
washington           ,Sea Mar Community Health Centers Bellevue Behavioral Health Clinic              ,"3801 150th Avenue Southeast
                                                                                                       Bellevue, WA 98006"                                        ,425-460-7114
washington           ,Associated Behavioral Health Care North Seattle                                 ,"2111 North Northgate Way Suite 212
                                                                                                       Seattle, WA 98133"                                         ,206-781-2661
washington           ,Behavioral Health Resources Shelton                                             ,"110 West K Street
                                                                                                       Shelton, WA 98584"                                         ,360-426-1696
washington           ,Triumph Treatment Services Casita                                               ,"605 Superior Lane
                                                                                                       Yakima, WA 98902"                                          ,509-853-4173
washington           ,Sea Mar Tacoma Adult Inpatient Treatment Center                                 ,"1415 Center Street
                                                                                                       Tacoma, WA 98409"                                          ,253-280-9860
washington           ,Sea Mar Community Health Centers Vancouver Behavioral Health Clinic             ,"7803 NE Fourth Plain Blvd
                                                                                                       Suite A
                                                                                                       Vancouver, WA 98662"                                       ,3605664432
washington           ,Royal Life Centers at The Haven                                                 ,"8649 Martin Way East
                                                                                                       Lacey, WA 98516"                                           ,877-732-6837
washington           ,Family Health Center Woodland Clinic                                            ,"1251 Lewis River Road Suite D
                                                                                                       Woodland, WA 98674"                                        ,360-225-4310
washington           ,CCS Behavioral Health Center Everett                                            ,"2610 Wetmore Avenue
                                                                                                       Everett, WA 98201"                                         ,425-258-5270
washington           ,CCS Recovery Center Marysville                                                  ,"1227 2nd Street
                                                                                                       Marysville, WA 98270"                                      ,360-651-2366
washington           ,The Right Choice Counseling                                                     ,"1740 Northeast Riddell Road Suite 170
                                                                                                       Bremerton, WA 98310"                                       ,360-373-4077
washington           ,Reflections Counseling                                                          ,"3430 East Highway 101
                                                                                                       Port Angeles, WA 98362"                                    ,360-452-4062
washington           ,New Horizon Counseling Downtown Spokane                                         ,"701 East 3rd Avenue
                                                                                                       Spokane, WA 99202"                                         ,509-838-6092
washington           ,Serenity Point Counseling Services                                              ,"410 South Wilbur Avenue
                                                                                                       Walla Walla, WA 99362"                                     ,509-529-6036
washington           ,Serenity Counseling Services                                                    ,"5005 Pacific Highway East Suite 20
                                                                                                       Fife, WA 98424"                                            ,253-922-6522
washington           ,Spokane Comprehensive Treatment Center                                          ,"4305 East Trent Avenue
                                                                                                       Spokane, WA 99212"                                         ,8448470884
washington           ,Gateway Counseling Services                                                     ,"140 South Arthur Street Suite 665
                                                                                                       Spokane, WA 99202"                                         ,509-532-8855
washington           ,Swedish Addiction Recovery Ballard                                              ,"5300 Tallman Avenue Northwest
                                                                                                       Seattle, WA 98107"                                         ,2067822700
washington           ,King County Residential Treatment Program                                       ,"11900 Beacon Avenue South
                                                                                                       Seattle, WA 98178"                                         ,206-772-6900
washington           ,Harborview Medical Center Addictions                                            ,"401 Broadway
                                                                                                       Seattle, WA 98122"                                         ,206-744-9600
washington           ,Programa SER                                                                    ,"901 South 3rd Street
                                                                                                       Renton, WA 98057"                                          ,206-387-1240
washington           ,Lifeline Connections Mount Vernon                                               ,"1413 E. College Way
                                                                                                       Mount Vernon, WA 98273"                                    ,3603978246
washington           ,Lakeside Milam Recovery Centers Kirkland Inpatient Treatment                    ,"10322 Northeast 132nd Street
                                                                                                       Kirkland, WA 98034"                                        ,425-823-3116
washington           ,Therapeutic Health Services Kent                                                ,"24823 Pacific Highway South Suite 103
                                                                                                       Kent, WA 98032"                                            ,253-681-0010
washington           ,Olalla Recovery Centers Gig Harbor Counseling                                   ,"5122 Olympic Drive Suite A-105
                                                                                                       Gig Harbor, WA 98335"                                      ,253-851-2552
washington           ,Nooksack Indian Tribe – Genesis II                                              ,"2505 Sulwhanon Drive Building A
                                                                                                       Everson, WA 98247"                                         ,3603986399
washington           ,Sea Mar Community Health Centers Bellingham Behavioral Health Clinic            ,"3350 Airport Drive
                                                                                                       Bellingham, WA 98226"                                      ,360-734-5458
washington           ,Lake Whatcom Residential and Treatment Center                                   ,"3400 Agate Heights Road
                                                                                                       Bellingham, WA 98226"                                      ,360-676-6000
washington           ,New Life Recovery Solutions Bellevue                                            ,"12330 Northeast 8th Street Suite 100
                                                                                                       Bellevue, WA 98005"                                        ,425-454-2238
washington           ,Greater Lakes Mental Healthcare Spanaway Clinic                                 ,"113 170th Street South
                                                                                                       Spanaway, WA 98387"                                        ,253-535-1935
washington           ,Lakeside Milam Recovery Centers Seattle                                         ,"2815 Eastlake Avenue East Suite 100
                                                                                                       Seattle, WA 98102"                                         ,206-341-9373
washington           ,Puyallup Tribal Health Authority                                                ,"2209 East 32nd Street
                                                                                                       Tacoma, WA 98404"                                          ,253-593-0232
washington           ,New Horizon Care Centers Sun Ray Court                                          ,"518 South Browne Street
                                                                                                       Spokane, WA 99204"                                         ,509-456-5465
washington           ,Alpine Recovery Services                                                        ,"16404 Smokey Point Boulevard Suite 109
                                                                                                       Arlington, WA 98223"                                       ,360-658-1388
washington           ,Family Health Center Kelso Clinic                                               ,"300 Oak Street Suite B
                                                                                                       Kelso, WA 98626"                                           ,360-353-5511
washington           ,Sea Mar Community Health Centers Monroe Behavioral Health Clinic                ,"14090 Fryelands Boulevard Southeast Suite 347
                                                                                                       Monroe, WA 98272"                                          ,360-805-3122
washington           ,Prosperity Wellness Center Residential Services                                 ,"12201 Pacific Ave S
                                                                                                       Tacoma, WA 98444"                                          ,2534442395
washington           ,Sea Mar Community Health Centers Puyallup Behavioral Clinic                     ,"12812 101st Avenue Court East # 202
                                                                                                       Puyallup, WA 98373"                                        ,253-864-4770
washington           ,Sea Mar Community Health Centers Vancouver Salmon Creek                         ,"14508 Northeast 20th Avenue
                                                                                                       Vancouver, WA 98686"                                       ,3603979211
washington           ,Daybreak Youth Services Inpatient Treatment                                     ,"11910 Northeast 154th Street
                                                                                                       Brush Prairie, WA 98606"                                   ,3607509588
washington           ,Evergreen Recovery Centers Lynnwood Outpatient                                  ,"4230 198th Street Southwest
                                                                                                       Lynnwood, WA 98036"                                        ,425-248-4900
washington           ,Affinity Counseling and Treatment                                               ,"12503 Southeast Mill Plain Boulevard Suite 119-A
                                                                                                       Vancouver, WA 98684"                                       ,360-314-6507
washington           ,Lifeline Connections Meriwether Place Office                                    ,"6221 Northeast Fourth Plain Boulevard Suite 120
                                                                                                       Vancouver, WA 98661"                                       ,360-989-3743
washington           ,MERIT Resource Services Sunnyside                                               ,"702 East Franklin Avenue
                                                                                                       Sunnyside, WA 98944"                                       ,509-837-7700
washington           ,NorthEast Washington Alliance Counseling Services                               ,"165 East Hawthorne Avenue
                                                                                                       Colville, WA 99114"                                        ,509-684-4597
washington           ,Vancouver Comprehensive Treatment Center                                        ,"2009 Northeast 117th Street Suite 101
                                                                                                       Vancouver, WA 98686"                                       ,8889863285
washington           ,The Recovery Village Ridgefield Detox Center                                    ,"5114 Northeast 94th Avenue
                                                                                                       Vancouver, WA 98662"                                       ,8447977401
washington           ,Helping Professionals Wellness Center                                           ,"5007 Northeast Saint Johns Road
                                                                                                       Vancouver, WA 98661"                                       ,360-687-0693
washington           ,Cowlitz Tribal Health Seattle                                                   ,"6450 South Center Blvd.
                                                                                                       Tukwila WA. 98188"                                         ,2064665122
washington           ,Sea Mar Community Health Centers Tacoma Behavioral Health Clinic                ,"2121 South 19th Street
                                                                                                       Tacoma, WA 98405"                                          ,253-396-1634
washington           ,A Positive Alternative                                                          ,"4649 Sunnyside Avenue North Suite 200
                                                                                                       Seattle, WA 98103"                                         ,206-547-1955
washington           ,Evergreen Treatment Services South King County Clinic                           ,"1412 Southwest 43rd Street Suite 140
                                                                                                       Renton, WA 98057"                                          ,425-264-0750
washington           ,Lakeside Milam Recovery Centers Puyallup                                        ,"405 West Stewart Avenue Suite A
                                                                                                       Puyallup, WA 98371"                                        ,253-272-2242
washington           ,Comprehensive Healthcare Pasco                                                  ,"2705 St. Andrews Loop
                                                                                                       Suite C
                                                                                                       Pasco, WA 99301"                                           ,509-412-1051
washington           ,Youth Eastside Services Kirkland                                                ,"11829 97th Avenue Northeast
                                                                                                       Kirkland, WA 98034"                                        ,425-827-4937
washington           ,Providence Regional Medical Center – Everett                                    ,"916 Pacific Avenue
                                                                                                       Everett, WA 98201"                                         ,425-258-7390
washington           ,Bridgeway Treatment Services                                                    ,"2013 19th Street
                                                                                                       Everett, WA 98201"                                         ,425-283-5315
washington           ,American Behavioral Health Systems Residential Inpatient Services Chehalis      ,"500 Southeast Washington Avenue
                                                                                                       Chehalis, WA 98532"                                        ,360-748-4776
washington           ,Seattle Sober Living                                                            ,"1808 E Denny Way
                                                                                                       Seattle, WA 98112"                                         ,206-714-5150
washington           ,Navos Mental Health and Wellness Center                                         ,"1210 Southwest 136th Street
                                                                                                       Burien, WA 98166"                                          ,206-257-6600
washington           ,Somerset Counseling Center                                                      ,"1305 Mansfield Street Suite 6
                                                                                                       Richland, WA 99352"                                        ,509-942-1624
washington           ,Portland VA Medical Center Vancouver                                            ,"1601 East 4th Plain Boulevard
                                                                                                       Vancouver, WA 98661"                                       ,3607591901
washington           ,Royal Life Centers at Sound Recovery                                            ,"8645 Martin Way East
                                                                                                       Lacey, WA 98516"                                           ,877-732-6837
washington           ,Therapeutic Health Services Shoreline Branch                                    ,"16715 Aurora Avenue North Suite 102
                                                                                                       Shoreline, WA 98133"                                       ,206-546-9766
washington           ,Family Health Center Toutle River Campus                                        ,"2232 South Silver Lake Road
                                                                                                       Castle Rock, WA 98611"                                     ,360-274-3262
washington           ,Consejo Counseling and Referral Service South Park                              ,"8615 14th Avenue South
                                                                                                       Seattle, WA 98108"                                         ,206-461-4880
washington           ,Triumph Treatment Services Riel House                                           ,"613 Superior Lane
                                                                                                       Yakima, WA 98902"                                          ,509-575-4810
washington           ,MERIT Resource Services Yakima                                                  ,"315 North 2nd Street
                                                                                                       Yakima, WA 98901"                                          ,509-469-9366
washington           ,Greater Lakes Mental Healthcare Seeley Lake Lodge                               ,"9108 Lakewood Drive Southwest
                                                                                                       Lakewood, WA 98499"                                        ,253-581-6202
washington           ,Assessment and Treatment Associates Pasco                                       ,"9221 Sandifur Parkway Suite D
                                                                                                       Pasco, WA 99301"                                           ,509-380-5292
washington           ,Catholic Charities Spokane                                                      ,"12 East 5th Avenue
                                                                                                       Spokane, WA 99202"                                         ,509-358-4250
washington           ,North Star Treatment Group                                                      ,"707 S Grady Way #600
                                                                                                       Renton, WA 98057"                                          ,206-241-1187
washington           ,Lakeside Milam Recovery Centers Renton                                          ,"1000 Southwest 7th Street Suite B
                                                                                                       Renton, WA 98057"                                          ,206-248-4358
washington           ,Hotel California by the Sea Bellevue                                            ,"1601 114th Avenue Southeast
                                                                                                       Bellevue, WA 98004"                                        ,844-766-8717
washington           ,MultiCare Behavioral Health                                                     ,"325 East Pioneer Avenue
                                                                                                       Puyallup, WA 98372"                                        ,253-697-8400
washington           ,Valley Cities Behavioral Health Care Auburn                                     ,"2704 I Street Northeast
                                                                                                       Auburn, WA 98002"                                          ,253-833-7444
washington           ,EvergreenHealth Monroe Recovery Center                                          ,"17880 147th Street Southeast
                                                                                                       Monroe, WA 98272"                                          ,360-794-1405
washington           ,New Horizon Counseling Services Spokane Valley                                  ,"15407 East Mission Avenue
                                                                                                       Spokane Valley, WA 99037"                                  ,509-927-1543
washington           ,Hotel California by the Sea                                                     ,"1601 114th Avenue Southeast
                                                                                                       Bellevue, WA 98004"                                        ,425-320-1267
washington           ,Sea Mar Turning Point Treatment Center Seattle                                  ,"113 23rd Avenue South
                                                                                                       Seattle, WA 98144"                                         ,206-219-5980
washington           ,Partners with Families and Children                                             ,"106 West Mission Avenue
                                                                                                       Spokane, WA 99201"                                         ,509-473-4810
washington           ,Ideal Option Yakima River Road                                                  ,"602 N 39th Ave
                                                                                                       Ste. 200
                                                                                                       Yakima, WA, 98902"                                         ,877-522-1275
washington           ,Agape Unlimited                                                                 ,"4841 Auto Center Way Suite 101
                                                                                                       Bremerton, WA 98312"                                       ,360-373-1529
washington           ,Quinault Indian Nation Roger Saux Health Center                                 ,"1505 Kla Ook Wa Drive
                                                                                                       Taholah, WA 98587"                                         ,360-276-4405
